model,best_cv_score,test_f1_weighted,test_precision_weighted,test_recall_weighted,test_accuracy,mean_ms,p95_ms,p99_ms,implied_max_fps
xgboost,0.9977,0.9958,0.9958,0.9958,0.9958,1.8064,2.2421,2.3609,553.6
knn,0.9978,0.993,0.9931,0.993,0.993,2.1425,3.102,3.6265,466.7
svc,0.9973,0.9916,0.9918,0.9915,0.9915,1.054,1.6513,2.0144,948.7
logistic_regression,0.9967,0.9916,0.9918,0.9915,0.9915,0.198,0.3802,0.6699,5050.1
