model,best_cv_score,test_f1_weighted,test_precision_weighted,test_recall_weighted,test_accuracy,mean_ms,p95_ms,p99_ms,implied_max_fps
logistic_regression,0.7627,0.8194,0.8311,0.8217,0.8217,0.1371,0.162,0.1944,7294.2
svc,0.792,0.8151,0.8386,0.8183,0.8183,1.0504,1.7104,2.4295,952.0
knn,0.8054,0.795,0.8183,0.8004,0.8004,2.6176,4.1793,8.8745,382.0
xgboost,0.7895,0.735,0.7442,0.7308,0.7308,2.3909,3.4826,4.3044,418.2
