model,best_cv_score,test_f1_weighted,test_precision_weighted,test_recall_weighted,test_accuracy,mean_ms,p95_ms,p99_ms,implied_max_fps
xgboost,0.9014,0.9512,0.9537,0.9508,0.9508,1.3,1.6854,1.9001,769.2
logistic_regression,0.8891,0.9476,0.9501,0.9481,0.9481,0.1718,0.2753,0.6448,5819.7
knn,0.8995,0.9395,0.9425,0.9396,0.9396,1.3029,2.2064,3.4407,767.5
svc,0.9131,0.9217,0.9328,0.9217,0.9217,0.7372,1.279,1.5717,1356.6
